,Unnamed: 0,model,sim,additional_data,3G,4G,5G,Wi-Fi,VoLTE,Vo5G,NFC,extra_conecctions
16,16,Vivo Y16,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
19,19,Vivo Y22,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
33,33,Apple iPhone 11,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
44,44,Vivo Y35,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
46,46,Xiaomi Redmi Note 11,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
47,47,Realme C33,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
48,48,Vivo Y16 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
54,54,Realme 10,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
57,57,Xiaomi Redmi Note 10S,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
59,59,Motorola Moto G32,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
62,62,Samsung Galaxy A23,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
63,63,Vivo Y22 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
70,70,OPPO A17K,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
75,75,Gionee G13 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
79,79,Xiaomi Redmi 10A (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
80,80,Motorola Moto G72 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
88,88,Xiaomi Redmi Note 11 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
90,90,Vivo Y21 2021,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
94,94,Realme C33 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
95,95,Realme 9i,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
96,96,OPPO A17,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
108,108,Vivo T1 44W (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
114,114,Xiaomi Redmi A1,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
126,126,Motorola Moto G42,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
131,131,Xiaomi Redmi Note 10 Lite,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
132,132,Motorola Moto E40,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
136,136,Apple iPhone 11 (128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
137,137,Realme C35 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
138,138,OPPO K10,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
143,143,Jio Phone 3,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
144,144,OnePlus Clover,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
145,145,Samsung Galaxy F04,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
148,148,Xiaomi Redmi 10,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
151,151,Motorola Moto G52,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
156,156,Realme C30,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
160,160,Realme 9 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
161,161,Cola Phone,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
